purchase_id,user_id,amount,purchase_timestamp
1,1,19.99,2024-02-21 12:14:00
2,1,19.99,2024-02-23 22:31:00
3,1,1.99,2024-02-25 15:50:00
4,1,4.99,2024-02-27 14:55:00
5,1,19.99,2024-02-29 11:41:00
6,1,9.99,2024-03-02 08:18:00
7,8,19.99,2024-03-16 08:35:00
8,8,9.99,2024-03-19 05:08:00
9,8,1.99,2024-03-26 08:06:00
10,10,19.99,2024-04-02 07:03:00
11,10,9.99,2024-04-02 21:00:00
12,10,9.99,2024-04-08 22:20:00
13,11,0.99,2024-01-25 02:19:00
14,11,9.99,2024-01-26 20:14:00
15,12,19.99,2024-01-06 06:04:00
16,13,19.99,2024-01-23 06:18:00
17,13,4.99,2024-01-23 19:44:00
18,16,4.99,2024-03-29 15:37:00
19,16,1.99,2024-03-30 18:44:00
20,16,19.99,2024-03-31 21:19:00
21,16,4.99,2024-03-31 21:06:00
22,18,0.99,2024-02-08 09:04:00
23,19,1.99,2024-01-03 10:17:00
24,20,1.99,2024-03-06 00:50:00
25,22,9.99,2024-01-22 17:13:00
26,22,0.99,2024-01-23 18:02:00
27,22,9.99,2024-01-23 18:04:00
28,24,4.99,2024-03-18 09:09:00
29,25,1.99,2024-03-05 00:06:00
30,27,4.99,2024-04-01 03:23:00
31,28,0.99,2024-02-18 06:18:00
32,30,1.99,2024-02-13 13:55:00
33,30,0.99,2024-02-15 07:23:00
34,32,0.99,2024-03-20 23:19:00
35,33,19.99,2024-01-17 04:29:00
36,34,19.99,2024-03-02 05:10:00
37,34,4.99,2024-03-04 16:27:00
38,34,9.99,2024-03-04 15:52:00
39,35,1.99,2024-03-02 21:54:00
40,35,1.99,2024-03-02 21:58:00
41,35,1.99,2024-03-05 18:47:00
42,35,9.99,2024-03-10 05:29:00
43,37,4.99,2024-03-03 03:14:00
44,37,1.99,2024-03-03 03:13:00
45,38,0.99,2024-02-21 17:08:00
46,41,9.99,2024-01-08 14:02:00
47,43,9.99,2024-01-07 23:04:00
48,43,19.99,2024-01-08 18:50:00
49,46,9.99,2024-02-08 12:10:00
50,47,1.99,2024-01-20 08:14:00
51,47,9.99,2024-01-23 06:12:00
52,47,19.99,2024-01-24 05:23:00
53,50,19.99,2024-03-02 07:28:00
54,51,1.99,2024-01-16 10:09:00
55,52,1.99,2024-01-09 23:36:00
56,52,0.99,2024-01-09 04:40:00
57,54,0.99,2024-02-22 06:23:00
58,58,1.99,2024-03-14 07:35:00
59,59,1.99,2024-02-15 00:31:00
60,59,1.99,2024-02-20 13:02:00
61,59,0.99,2024-02-23 20:31:00
62,59,4.99,2024-02-24 02:08:00
63,59,0.99,2024-02-24 04:24:00
64,60,0.99,2024-01-11 19:56:00
65,60,19.99,2024-01-14 13:43:00
66,62,0.99,2024-02-05 19:34:00
67,62,19.99,2024-02-08 04:26:00
68,62,1.99,2024-02-09 21:14:00
69,62,4.99,2024-02-16 07:43:00
70,65,1.99,2024-02-05 20:54:00
71,66,19.99,2024-02-22 08:07:00
72,68,1.99,2024-01-03 17:01:00
73,68,1.99,2024-01-04 20:02:00
74,69,19.99,2024-01-07 02:00:00
75,71,1.99,2024-01-08 16:36:00
76,71,19.99,2024-01-08 11:37:00
77,71,19.99,2024-01-18 14:07:00
78,78,9.99,2024-03-16 07:09:00
79,79,19.99,2024-03-04 20:07:00
80,79,4.99,2024-03-04 15:28:00
81,79,19.99,2024-03-07 01:01:00
82,82,0.99,2024-01-17 00:02:00
83,83,1.99,2024-03-17 10:33:00
84,83,0.99,2024-03-18 00:28:00
85,84,0.99,2024-03-19 03:23:00
86,84,1.99,2024-03-20 21:35:00
87,85,0.99,2024-03-27 21:18:00
88,89,1.99,2024-03-21 21:24:00
89,89,4.99,2024-03-21 21:21:00
90,89,19.99,2024-03-21 00:10:00
91,94,4.99,2024-04-02 05:18:00
92,94,4.99,2024-04-05 09:11:00
93,94,19.99,2024-04-08 10:50:00
94,99,1.99,2024-02-14 04:39:00
95,99,0.99,2024-02-14 09:48:00
96,99,1.99,2024-02-16 07:00:00
97,105,0.99,2024-01-01 05:16:00
98,105,9.99,2024-01-02 14:54:00
99,105,0.99,2024-01-02 04:28:00
100,106,9.99,2024-01-13 21:45:00
101,108,0.99,2024-03-04 18:30:00
102,109,0.99,2024-01-12 23:07:00
103,110,9.99,2024-03-24 23:48:00
104,110,1.99,2024-03-27 05:35:00
105,113,0.99,2024-02-07 08:18:00
106,113,4.99,2024-02-12 17:22:00
107,116,19.99,2024-02-11 01:30:00
108,116,0.99,2024-02-12 02:44:00
109,120,0.99,2024-03-15 19:06:00
110,120,9.99,2024-03-16 16:06:00
111,122,9.99,2024-02-10 15:29:00
112,123,0.99,2024-02-02 01:50:00
113,124,9.99,2024-02-18 16:20:00
114,126,9.99,2024-03-03 12:32:00
115,128,0.99,2024-02-08 00:02:00
116,130,0.99,2024-03-26 21:00:00
117,130,19.99,2024-04-01 22:16:00
118,132,9.99,2024-03-08 11:11:00
119,132,9.99,2024-03-08 10:45:00
120,132,1.99,2024-03-13 04:57:00
121,132,9.99,2024-03-18 19:14:00
122,132,19.99,2024-03-18 20:12:00
123,132,19.99,2024-03-21 22:06:00
124,132,0.99,2024-03-22 16:03:00
125,132,0.99,2024-03-28 10:52:00
126,132,4.99,2024-04-03 11:49:00
127,135,9.99,2024-01-04 13:00:00
128,136,0.99,2024-01-02 04:45:00
129,138,19.99,2024-03-30 21:58:00
130,138,19.99,2024-03-30 22:26:00
131,138,4.99,2024-03-30 22:19:00
132,139,4.99,2024-01-16 19:14:00
133,140,0.99,2024-01-27 22:52:00
134,140,9.99,2024-01-27 06:55:00
135,141,19.99,2024-01-11 12:57:00
136,141,0.99,2024-01-11 13:23:00
137,142,9.99,2024-03-19 17:45:00
138,142,9.99,2024-03-19 18:02:00
139,143,19.99,2024-01-15 18:21:00
140,143,9.99,2024-01-20 11:42:00
141,144,0.99,2024-04-04 16:59:00
142,146,1.99,2024-03-17 23:00:00
143,149,9.99,2024-02-24 02:52:00
144,149,0.99,2024-02-24 12:35:00
145,150,9.99,2024-01-04 06:24:00
146,151,9.99,2024-01-24 20:41:00
147,154,4.99,2024-01-31 03:15:00
148,156,0.99,2024-01-15 13:32:00
149,156,0.99,2024-01-15 01:45:00
150,160,9.99,2024-04-03 17:34:00
151,162,19.99,2024-03-09 15:54:00
152,162,1.99,2024-03-13 05:01:00
153,163,4.99,2024-02-12 19:16:00
154,164,0.99,2024-02-17 18:34:00
155,164,4.99,2024-02-19 18:35:00
156,164,19.99,2024-02-22 07:12:00
157,164,0.99,2024-02-22 07:08:00
158,164,4.99,2024-02-22 07:08:00
159,165,0.99,2024-03-02 16:10:00
160,165,4.99,2024-03-02 02:56:00
161,165,4.99,2024-03-02 14:58:00
162,167,1.99,2024-01-09 02:21:00
163,168,4.99,2024-01-28 23:02:00
164,171,19.99,2024-03-28 18:54:00
165,171,1.99,2024-03-29 02:50:00
166,171,9.99,2024-03-29 02:54:00
167,172,4.99,2024-01-31 11:02:00
168,173,1.99,2024-03-06 10:25:00
169,178,19.99,2024-01-27 06:22:00
170,178,0.99,2024-01-29 18:40:00
171,178,4.99,2024-01-30 20:54:00
172,180,4.99,2024-03-18 01:11:00
173,180,9.99,2024-03-21 15:03:00
174,181,0.99,2024-01-03 03:59:00
175,182,4.99,2024-03-10 19:26:00
176,183,19.99,2024-03-13 06:31:00
177,187,1.99,2024-02-06 04:56:00
178,189,9.99,2024-02-14 00:46:00
179,189,0.99,2024-02-17 00:32:00
180,193,4.99,2024-02-03 21:23:00
181,193,19.99,2024-02-06 03:08:00
182,197,9.99,2024-03-02 00:21:00
183,197,4.99,2024-03-02 00:12:00
